loc;sum_in;mean_in;trimmed_mean_in;max_in;med_in;total_days;proportion_days
astoria;8,646;0,23558583106267031;1,48508474576271e-01;2,81;0,04;231;0,6294277929155313
forks;11,951;0,32564032697547685;2,05288135593220e-01;3,82;0,08;229;0,6239782016348774
aberdeen;9,075;0,24727520435967301;1,56474576271186e-01;3,51;0,05;218;0,5940054495912807
everett;4,062;0,11068119891008174;6,46440677966102e-02;1,29;0,02;199;0,5422343324250681
olympia;5,286;0,14403269754768391;8,20677966101695e-02;2,41;0,01;189;0,5149863760217984
porttownsend;2,427;0,06613079019073570;3,23728813559322e-02;1,34;0,01;184;0,5013623978201635
bellingham;4,315;0,11757493188010899;5,96949152542373e-02;1,90;0,00;181;0,4931880108991826
seattle;3,710;0,10108991825613078;5,34237288135593e-02;1,68;0,00;178;0,4850136239782016
miami;7,215;0,19659400544959127;7,34237288135593e-02;6,95;0,00;175;0,4768392370572207
portland;4,690;0,12779291553133515;7,21016949152542e-02;1,54;0,00;172;0,4686648501362398
tacoma;3,364;0,09166212534059945;5,11525423728814e-02;1,20;0,00;171;0,4659400544959128
buffalo;3,750;0,10217983651226158;5,55254237288136e-02;1,49;0,00;169;0,4604904632152589
eugene;4,673;0,12732970027247956;7,02033898305085e-02;1,57;0,00;167;0,4550408719346049
burlington;4,101;0,11174386920980926;4,80000000000000e-02;2,38;0,00;166;0,4523160762942779
bangor;4,579;0,12476839237057220;5,37966101694915e-02;1,58;0,00;152;0,4141689373297003
eureka;5,931;0,16160762942779291;6,55593220338983e-02;2,18;0,00;151;0,4114441416893733
pittsburg;4,304;0,11727520435967302;4,46440677966102e-02;2,42;0,00;151;0,4114441416893733
detroit;3,736;0,10179836512261581;4,28135593220339e-02;1,66;0,00;147;0,4005449591280654
jacksonville;5,809;0,15828337874659401;6,06440677966102e-02;3,60;0,00;146;0,3978201634877384
neworleans;10,259;0,27953678474114441;9,07457627118644e-02;7,49;0,00;140;0,3814713896457766
cincinatti;4,228;0,11520435967302452;4,51186440677966e-02;2,82;0,00;138;0,3760217983651226
nashville;5,155;0,14046321525885558;5,24067796610170e-02;2,54;0,00;137;0,3732970027247957
missoula;1,352;0,03683923705722071;1,38644067796610e-02;0,73;0,00;135;0,3678474114441417
dc;3,904;0,10637602179836513;3,72203389830508e-02;2,34;0,00;133;0,3623978201634878
boston;4,874;0,13280653950953678;4,47118644067797e-02;2,80;0,00;132;0,3596730245231607
manhattan;4,708;0,12828337874659401;4,44745762711864e-02;3,32;0,00;129;0,3514986376021799
chicago;4,043;0,11016348773841962;4,24406779661017e-02;1,65;0,00;125;0,3405994550408719
atlanta;5,689;0,15501362397820165;3,76949152542373e-02;7,08;0,00;123;0,3351498637602180
spokane;1,768;0,04817438692098092;1,81355932203390e-02;0,76;0,00;121;0,3297002724795640
tallahassee;6,165;0,16798365122615802;4,18644067796610e-02;7,00;0,00;121;0,3297002724795640
richmond;4,724;0,12871934604904633;3,94576271186441e-02;2,53;0,00;120;0,3269754768392371
houston;6,417;0,17485013623978202;4,22711864406780e-02;5,17;0,00;118;0,3215258855585831
medford;2,297;0,06258855585831062;2,02033898305085e-02;1,45;0,00;117;0,3188010899182561
charleston;5,824;0,15869209809264306;3,36949152542373e-02;7,14;0,00;115;0,3133514986376022
littlerock;5,923;0,16138964577656675;4,52542372881356e-02;4,50;0,00;113;0,3079019073569482
minneapolis;3,836;0,10452316076294278;3,07118644067797e-02;2,15;0,00;113;0,3079019073569482
bismark;1,770;0,04822888283378746;1,32542372881356e-02;1,37;0,00;110;0,2997275204359673
redding;5,758;0,15689373297002726;4,62033898305085e-02;4,86;0,00;109;0,2970027247956403
dallas;5,235;0,14264305177111716;3,46440677966102e-02;3,45;0,00;108;0,2942779291553134
stlouis;3,630;0,09891008174386921;2,30847457627119e-02;3,39;0,00;108;0,2942779291553134
tahoe;2,788;0,07596730245231607;1,92203389830508e-02;1,82;0,00;108;0,2942779291553134
bend;1,241;0,03381471389645777;1,01016949152542e-02;0,90;0,00;106;0,2888283378746594
lewiston;1,084;0,02953678474114441;1,05084745762712e-02;0,63;0,00;106;0,2888283378746594
flagstaff;1,858;0,05062670299727520;1,39322033898305e-02;1,20;0,00;103;0,2806539509536785
boise;1,572;0,04283378746594006;1,42372881355932e-02;1,22;0,00;102;0,2779291553133515
sanfrancisco;3,047;0,08302452316076295;1,97288135593220e-02;2,90;0,00;87;0,2370572207084469
saltlakecity;1,505;0,04100817438692098;1,08135593220339e-02;0,89;0,00;86;0,2343324250681199
omaha;3,811;0,10384196185286103;1,69830508474576e-02;3,60;0,00;84;0,2288828337874659
wenatchee;1,086;0,02959128065395095;6,37288135593220e-03;0,86;0,00;82;0,2234332425068120
denver;1,508;0,04108991825613079;5,38983050847458e-03;1,48;0,00;80;0,2179836512261580
oklahomacity;3,528;0,09613079019073570;1,52542372881356e-02;4,12;0,00;79;0,2152588555858310
sanantonio;2,560;0,06975476839237058;6,23728813559322e-03;2,89;0,00;73;0,1989100817438692
sacramento;2,165;0,05899182561307902;9,83050847457627e-03;2,16;0,00;72;0,1961852861035422
albuquerque;0,855;0,02329700272479564;2,10169491525424e-03;1,63;0,00;63;0,1716621253405995
fresno;1,184;0,03226158038147139;3,45762711864407e-03;0,85;0,00;63;0,1716621253405995
tucson;1,195;0,03256130790190736;2,23728813559322e-03;1,25;0,00;57;0,1553133514986376
reno;0,644;0,01754768392370572;1,01694915254237e-03;0,72;0,00;50;0,1362397820163488
bakersfield;0,738;0,02010899182561308;1,08474576271186e-03;0,61;0,00;46;0,1253405994550409
losangeles;1,800;0,04904632152588556;3,38983050847458e-04;3,45;0,00;42;0,1144414168937330
phoenix;0,470;0,01280653950953678;1,01694915254237e-04;0,85;0,00;38;0,1035422343324251
elpaso;0,496;0,01351498637602180;3,38983050847458e-05;0,73;0,00;37;0,1008174386920981
sandiego;1,053;0,02869209809264305;3,38983050847458e-05;2,27;0,00;37;0,1008174386920981
lasvegas;0,253;0,00689373297002725;0,00000000000000e+00;0,52;0,00;20;0,0544959128065395
