,handaxe_type,breadth_cm,width_cm
0,L Shape,2.749080237694725,7.282970263056656
1,L Shape,3.9014286128198323,3.9764570245642927
2,L Shape,3.46398788362281,5.045012539746527
3,L Shape,3.197316968394073,5.5645329030558415
4,L Shape,2.312037280884873,6.192489889519251
5,L Shape,2.3119890406724055,8.496231729751095
6,L Shape,2.116167224336399,4.397716475108519
7,L Shape,3.73235229154987,6.599641068895281
8,L Shape,3.2022300234864174,7.146901982034297
9,L Shape,3.416145155592091,3.325152889039984
10,L Shape,2.041168988591605,7.252813963310069
11,L Shape,3.9398197043239884,4.193668865811041
12,L Shape,3.6648852816008435,3.4553611508969566
13,L Shape,2.4246782213565523,9.642198760773333
14,L Shape,2.3636499344142012,9.759424231521916
15,L Shape,2.3668090197068676,8.658781436815229
16,L Shape,2.6084844859190754,5.1322963842135945
17,L Shape,3.049512863264476,3.683704798044687
18,L Shape,2.8638900372842313,7.789631185585098
19,L Shape,2.582458280396084,6.081067456177209
20,L Shape,4.7322294090686725,2.7773545793789642
21,L Shape,6.971061460667621,2.5426980635477916
22,L Shape,4.20633112669131,3.6574750183038587
23,L Shape,9.455922412472692,2.713506653387179
24,L Shape,5.5526798896001015,2.5618690193747615
25,L Shape,7.975133706123891,3.085392166316497
26,L Shape,5.8702664565364655,2.2818484499495253
27,L Shape,7.120408127066865,3.6043939615080793
28,L Shape,7.280261676059678,2.1491012873595414
29,L Shape,5.109126733153162,3.9737738732010346
30,L Shape,9.817507766587351,3.544489538593315
31,L Shape,8.650796940166687,2.397431363068345
32,L Shape,9.636993649385134,2.011044234247205
33,L Shape,9.368964102565894,3.6309228569096685
34,L Shape,7.587399872866511,3.4137146876952342
35,L Shape,9.531245410138702,3.4580143360819746
36,L Shape,4.530955012311517,3.5425406933718913
37,L Shape,5.175897174514871,2.148089303468181
38,L Shape,4.271363733463229,2.7169314570885454
39,L Shape,5.951981984579586,2.2317381190502594
40,Inner Circle,6.231884401982494,5.637210847208447
41,Inner Circle,6.682881588985651,5.434054477974769
42,Inner Circle,5.664578033508297,5.6487700694908245
43,Inner Circle,5.870038716335328,6.640781482391452
44,Inner Circle,5.22556551819578,6.2301257767617795
45,Inner Circle,5.16265536314353,5.629167857363073
46,Inner Circle,6.568768075675939,6.359287203179349
47,Inner Circle,6.949368019999576,6.067954284543628
48,Inner Circle,5.949592914893766,6.678051493373022
49,Inner Circle,6.702473028524417,5.508562834285853
50,Inner Circle,6.253145217533344,5.770636497381562
51,Inner Circle,5.548416171776413,5.725524292807489
52,Inner Circle,6.25297692385589,4.975539536307517
53,Inner Circle,7.076625596526179,6.2072841939452035
54,Inner Circle,5.974921772623034,6.182738690525922
55,Inner Circle,7.095250559069804,6.003579419649722
56,Inner Circle,4.166178427137179,5.835789006637397
57,Inner Circle,6.575331753062657,5.00924048056471
58,Inner Circle,6.0609329477667195,5.705548274064249
59,Inner Circle,5.790694854673893,5.760099838431262
60,Inner Circle,6.064232543574851,5.438405911544867
61,Inner Circle,4.608701759779375,5.887100001833794
62,Inner Circle,5.846229678513741,6.282835599770177
63,Inner Circle,6.249978800058223,7.320330130847371
64,Inner Circle,7.034525831319061,6.122204468982288
